"objectid","standort","ortsbezeichnung","quartier","stadtkreis","baujahr","historisches_baujahr","art_eigentuemer","eigentuemer","wasserart","brunnennummer","brunnenart","art","architekt_bildhauer","steinhauer","material_trog","material_saeule","material_figur","abgestellt","datum_abstellung","grund_abstellung","hkoord","vkoord","bemerkung1","bemerkung2","foto","druckzone","u_aks_nummer","datum_wiederinbetriebnahme","datum_aenderung","geometry"
"338","Zeppelinstrasse 40","Schulhaus Milchbuck","Hoengg/Wipkingen","10","","1930","städtisch","IMMO","Züriwasser","586.1","Brunnen in städtischer Liegenschaft","öffentlich","Carl Fischer","Carl Fischer","Granit","","Bronze","nein","","","2682955.906","1250032.491","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/","HZ Sonnenberg","{18259838-8981-402E-AC53-0B9673A85654}","","202308241444","POINT (2682956 1250032.5)"
"339","Zeppelinstrasse 40","Schulhaus Milchbuck","Hoengg/Wipkingen","10","","1930","städtisch","IMMO","Züriwasser","586.2","Brunnen in städtischer Liegenschaft","öffentlich","","","","","","nein","","","2682989.664","1250008.4","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/","HZ Sonnenberg","{8BDEBBA2-C1F4-4777-AF15-FDA597456740}","","202308241444","POINT (2682989.8 1250008.4)"
"340","Turnerstrasse 49","Schulhaus Turnerstrasse","Unterstrass/Oberstrass","6","1904","1904","städtisch","IMMO","Züriwasser","588","Brunnen in städtischer Liegenschaft","öffentlich","","","Kunststein","","","nein","","","2683294.462","1249148.444","Der Brunnen wird neu über den WZ-Abo 23'664 der Liegenschaft Turnerstrasse 49 intern erschlossen. Die QWL wurde durch die WVZ im Brunnenschacht von Br.261 getrennt und ausser Betrieb genommen.","","https://wvzm0cun.global.szh.loc/Brunnenbilder/","HZ Sonnenberg","{8926BB15-7B36-4D0D-BEAF-BE08CE8DD315}","","202308241444","POINT (2683294.5 1249148.5)"
"342","Huttenstrasse 14","Schulhaus Huttenstrasse","Unterstrass/Oberstrass","6","","1959","städtisch","IMMO","Züriwasser","594","Brunnen in städtischer Liegenschaft","öffentlich","","","","","","nein","","","2683829.715","1248509.874","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/","HZ Sonnenberg","{6FC2348E-F316-4D93-A2A1-0E10EABABF5E}","","202308241444","POINT (2683829.8 1248509.9)"
"350","Heubeeriweg  30","Schulhaus Heubeeribüel","Fluntern/Hottingen/Witikon","7","","","städtisch","IMMO","Züriwasser","608","Brunnen in städtischer Liegenschaft","öffentlich","","","Nagelfluh","","","nein","","","2685086.18","1248481.01","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/","GZ Looren","{54192752-8B91-4298-93A7-E815C150FCBF}","","202308241444","POINT (2685086.2 1248481)"
"361","Lettensteg 10","Badanstalt","Unterstrass/Oberstrass","6","","","städtisch","UGZ","Züriwasser","646.1","Brunnen in städtischer Liegenschaft","öffentlich","","","","","","nein","","","2682766.384","1248872.412","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/","Limmatzone","{547DA289-F8AC-4E06-93F7-47F88AD654E3}","","202308241444","POINT (2682766.5 1248872.4)"
"362","Lettensteg 10","Badanstalt","Unterstrass/Oberstrass","6","","","städtisch","UGZ","Züriwasser","646.2","Brunnen in städtischer Liegenschaft","öffentlich","","","","","","nein","","","2682815.627","1248831.361","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/","Limmatzone","{A4B24E06-FE5D-4EFB-888E-5A887B583671}","","202308241444","POINT (2682815.8 1248831.4)"
"363","Lettensteg 10","Badanstalt","Unterstrass/Oberstrass","6","","","städtisch","UGZ","Züriwasser","646.3","Brunnen in städtischer Liegenschaft","öffentlich","","","","","","nein","","","2682832.071","1248815.359","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/","Limmatzone","{6C2311A7-49E9-4513-8E0F-39F06FC95487}","","202308241444","POINT (2682832 1248815.4)"
"364","Nordstrasse 270","Schulhaus Nordstrasse , Pausenplatz","Hoengg/Wipkingen","10","","1961","städtisch","IMMO","Züriwasser","648.2","Brunnen in städtischer Liegenschaft","öffentlich","","","Beton","","Kalkstein","nein","","","2682146.661","1249898.765","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/","Limmatzone","{CC717B71-6C4D-4493-88AA-3D843EC61534}","","202308241444","POINT (2682146.8 1249898.8)"
"365","Nordstrasse 270","Schulhaus Nordstrasse , Pausenplatz","Hoengg/Wipkingen","10","","1961","städtisch","IMMO","Züriwasser","648.1","Brunnen in städtischer Liegenschaft","öffentlich","","","Granit","","","nein","","","2682133.135","1249920.402","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/","Limmatzone","{6ABDB6FD-F5A1-44BE-B313-08E11775A181}","","202308241444","POINT (2682133.2 1249920.4)"
